"Characteristic","Overall (n=6371)","Group I (n=391)","Group II (n=4585)","Group III (n=787)","Group IV (n=608)","p value"
"n","6371","391","4585","787","608",""
"Age, year","51.0 (16.6)","40.1 (13.8)","50.9 (16.7)","49.1 (14.5)","61.5 (14.7)","<0.001"
"Female, n (%)","2997 (47.0)","60 (15.3)","2550 (55.6)","114 (14.5)","273 (44.9)","<0.001"
"Waist circumference, cm","110.5 (103.7-119.5)","101.3 (97.3-104.8)","114.9 (108.3-123.3)","99.0 (95.0-102.2)","105.0 (100.8-108.8)","<0.001"
"BMI, kg/m2","33.2 (30.1-37.4)","30.9 (30.1-32.0)","35.2 (32.5-39.2)","27.6 (26.4-28.7)","28.8 (27.9-29.4)","<0.001"
"WHtR","0.66 (0.61-0.72)","0.58 (0.57-0.59)","0.69 (0.65-0.74)","0.57 (0.56-0.59)","0.63 (0.61-0.65)","<0.001"
"Systolic BP, mm Hg","124.0 (114.0-136.0)","122.0 (115.0-131.0)","124.0 (114.0-136.0)","123.0 (115.0-134.0)","126.0 (116.0-141.0)","0.0018"
"Diastolic BP, mm Hg","72.0 (64.0-79.0)","75.0 (68.0-82.0)","72.0 (64.0-79.0)","73.0 (67.0-80.0)","69.0 (61.0-77.0)","<0.001"
"Current smoking","1238 (40.9)","77 (52.0)","812 (39.3)","225 (49.5)","124 (34.5)","<0.001"
"Family history of CHD","911 (14.6)","26 (7.0)","710 (15.8)","98 (12.6)","77 (12.7)","<0.001"
"  High income","1281 (22.1)","126 (36.4)","864 (20.7)","194 (26.8)","97 (17.7)","<0.001"
"  Middle income","3175 (54.9)","161 (46.5)","2310 (55.4)","383 (52.8)","321 (58.6)",""
"  Low income","1332 (23.0)","59 (17.1)","995 (23.9)","148 (20.4)","130 (23.7)",""
"Hypertension","3448 (54.1)","158 (40.4)","2586 (56.4)","335 (42.6)","369 (60.7)","<0.001"
"T2DM","1595 (25.0)","42 (10.7)","1257 (27.4)","109 (13.9)","187 (30.8)","<0.001"
"Dyslipidaemia","3839 (60.3)","225 (57.5)","2708 (59.1)","486 (61.8)","420 (69.1)","<0.001"
"CKD","1296 (20.3)","39 (10.0)","996 (21.7)","107 (13.6)","154 (25.3)","<0.001"
"Stroke","270 (4.3)","6 (1.6)","208 (4.6)","18 (2.3)","38 (6.3)","<0.001"
"MI","520 (8.2)","12 (3.1)","380 (8.3)","46 (5.8)","82 (13.5)","<0.001"
"Heart failure","283 (4.5)","4 (1.1)","216 (4.8)","21 (2.7)","42 (6.9)","<0.001"
"COPD","157 (5.2)","2 (1.0)","121 (5.4)","11 (3.9)","23 (8.6)","0.0025"
"Cancer","624 (10.0)","8 (2.2)","456 (10.1)","58 (7.5)","102 (16.8)","<0.001"
